,pais,anio,inversion
371,HKG,2020,134709.8520738664
372,MAC,2020,-6980.4189778475
373,TWN,2020,6053.0
374,COL,2020,7458.62498
375,congo,2020,4015.5314509042
376,COK,2020,5.3165523
377,CRI,2020,1762.6553921
378,cote_divoire,2020,712.9158938811
379,HRV,2020,146.3506659151
380,CWU,2020,155.743256257
381,CYP,2020,-24450.8417723008
382,CZE,2020,9411.4762128585
383,COD,2020,1646.9210563
384,DNK,2020,1685.2252897823
385,DOM,2020,2559.6
386,ECU,2020,1094.6859008
387,EGY,2020,5851.8
388,SLV,2020,293.44233
389,GNQ,2020,410.0169183231
390,EST,2020,3419.3445516079
391,FJI,2020,240.6394304698
392,FIN,2020,-1578.5157383273
393,FRA,2020,11359.1454541716
394,PYF,2020,-15.5476129028
395,GAB,2020,1716.5115055221
396,GMB,2020,189.9
397,GEO,2020,589.79809
398,DEU,2020,56204.0739869287
399,GHA,2020,1333.37
400,GRC,2020,3212.5060193762
401,GTM,2020,934.87964
402,GIN,2020,176.35
403,GNB,2020,20.9897215969
404,GUF,2020,2085.89437
405,HTI,2020,25.0
406,HND,2020,418.6
407,HUN,2020,7046.7195910922
408,ISL,2020,-927.8202006485
409,IND,2020,64072.2384930738
410,IDN,2020,18590.96
411,IRN,2020,1342.0
412,IRQ,2020,-2859.1
413,IRL,2020,76571.7196683975
414,ISR,2020,23109.378
415,ITA,2020,-23621.7684401934
416,JAM,2020,265.1005536
417,JPN,2020,10702.5667680909
418,JOR,2020,760.2816901408
419,KAZ,2020,3669.6427651
420,KEN,2020,716.7562236
421,KIR,2020,2.6240928
422,KOR,2020,8764.9
423,KWT,2020,239.6867744495
424,KGZ,2020,-401.5
425,lao,2020,967.7060862
426,LVA,2020,1005.1330316411
427,LBN,2020,1606.8947219
428,LBR,2020,86.96
429,LTU,2020,3518.3311136646
430,LUX,2020,9838.8817438144
431,MDG,2020,358.4671414
432,MWI,2020,252.1790402
433,MYS,2020,3159.5148974112
434,MLI,2020,536.8518124411
435,MLT,2020,3921.4237252515
436,MRT,2020,954.8425755274
437,MUS,2020,224.6680827703
438,MEX,2020,28195.14663
439,MNG,2020,1719.12
440,MNE,2020,532.2844960514
441,MAR,2020,1419.2078697277
442,MOZ,2020,3034.5620562
443,NAM,2020,-146.4870553335
444,NLD,2020,-86507.0566506683
445,NCL,2020,571.7281290163
446,NZL,2020,3886.3648449021
447,NIC,2020,746.5
448,NER,2020,360.6535742647
449,NGA,2020,2385.2776659
450,NOR,2020,-8228.6930959799
451,OMN,2020,2889.466840052
452,PAK,2020,2057.0
453,PAN,2020,149.9502883
454,PNG,2020,111.7676028779
